author,birthDate,birthPlace
Édouard d'Anglemont,1796-12-28T00:00:00Z,Pont-Audemer
Édouard d'Anglemont,1798-12-28T00:00:00Z,Pont-Audemer
Annette Mbaye d'Erneville,1926-12-15T00:00:00Z,Sokone
Catherine Robbe-Grillet,1930-09-24T00:00:00Z,14e arrondissement de Paris
Élie-Abel Carrière,1818-06-04T00:00:00Z,May-en-Multien
Laurette Séjourné,1911-10-19T00:00:00Z,Italie
Élie Fréron,1718-01-20T00:00:00Z,Quimper
Élie Faure,1873-04-04T00:00:00Z,Sainte-Foy-la-Grande
Élie Semoun,1963-10-16T00:00:00Z,Paris
Élisabeth Gille,1937-03-20T00:00:00Z,Paris
Émile Arnaud,1864-10-21T00:00:00Z,La Chapelle-de-Surieu
E. Armand,1872-03-26T00:00:00Z,11e arrondissement de Paris
Émile Bergerat,1845-04-29T00:00:00Z,rue de la Vieille-Monnaie
Émile Blémont,1839-07-17T00:00:00Z,ancien 6e arrondissement de Paris
Émile Boutmy,1835-04-13T00:00:00Z,Paris
Alain,1868-03-03T00:00:00Z,Mortagne-au-Perche
Austen Henry Layard,1817-03-05T00:00:00Z,Paris
Émile Driant,1855-09-11T00:00:00Z,Neufchâtel-sur-Aisne
Macha Méril,1940-09-03T00:00:00Z,Rabat
Geneviève de Gaulle-Anthonioz,1920-10-25T00:00:00Z,Saint-Jean-de-Valériscle
Geneviève Tabouis,1892-02-23T00:00:00Z,8e arrondissement de Paris
Germaine Dulac,1882-11-17T00:00:00Z,Amiens
Nina Roberts,1979-04-29T00:00:00Z,Villecresnes
Isabelle Autissier,1956-10-18T00:00:00Z,12e arrondissement de Paris
Mimi Perrin,1926-02-02T00:00:00Z,Saint-Maurice
Nina Berberova,1901-08-08T00:00:00Z,Saint-Pétersbourg
Charlotte Aïssé,1693-01-01T00:00:00Z,Circassie
Anne Brochet,1966-11-22T00:00:00Z,Amiens
Christine Angot,1959-02-07T00:00:00Z,Châteauroux
Jean-Joseph Vadé,1720-01-17T00:00:00Z,Ham
Bertrand Clauzel,1772-12-12T00:00:00Z,Mirepoix
Gina Pellón,1926-12-26T00:00:00Z,Cumanayagua
Jacques-André Naigeon,1735-07-15T00:00:00Z,Paris
Jacques-André Naigeon,1738-07-15T00:00:00Z,Paris
Margot Anand,1944-07-27T00:00:00Z,Paris
Robert de Torigni,1100-01-01T00:00:00Z,Torigni-sur-Vire
Jules Breton,1827-05-01T00:00:00Z,Courrières
Thierry Acot-Mirande,1960-01-01T00:00:00Z,Paris
Maurice Schumann,1911-04-10T00:00:00Z,16e arrondissement de Paris
Jack Thieuloy,1931-01-01T00:00:00Z,Beaucaire
Marie Skobtsov,1891-12-20T00:00:00Z,Riga
Arkadi Stolypine,1903-07-20T00:00:00Z,Kalnaberžė
Benjamin Péret,1899-07-04T00:00:00Z,Rezé
André Migot,1892-01-28T00:00:00Z,18e arrondissement de Paris
Dominique Ehrhard,1958-03-05T00:00:00Z,Mulhouse
Philippe Jullian,1919-07-11T00:00:00Z,Bordeaux
Émile Guimet,1836-06-02T00:00:00Z,Lyon
Émile Henry,1872-09-26T00:00:00Z,Barcelone
Émile Javal,1839-05-05T00:00:00Z,Paris
Émile Littré,1801-02-01T00:00:00Z,ancien 11e arrondissement de Paris
Émile Mâle,1862-06-02T00:00:00Z,Commentry
Émile Pagès,1893-06-30T00:00:00Z,Gaillefontaine
Q286293,1825-07-02T00:00:00Z,Marseille
Émile Picot,1844-09-13T00:00:00Z,Paris
Émile Pouget,1860-10-12T00:00:00Z,Pont-de-Salars
Émile Senart,1847-03-26T00:00:00Z,Reims
Émile Souvestre,1806-04-15T00:00:00Z,Morlaix
Léon Gautier,1832-08-08T00:00:00Z,Le Havre
Émile Vuillermoz,1878-05-23T00:00:00Z,4e arrondissement de Lyon
Émile de Najac,1828-12-14T00:00:00Z,Lorient
Paul Meurice,1818-02-05T00:00:00Z,ancien 4e arrondissement de Paris
Armand Keravel,1910-02-18T00:00:00Z,Brest
Éric-Emmanuel Schmitt,1960-03-28T00:00:00Z,Sainte-Foy-lès-Lyon
Patrick Lapeyre,1949-06-01T00:00:00Z,Paris
Jean Rostand,1894-10-30T00:00:00Z,17e arrondissement de Paris
